Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA,Signal,Position
2019-09-26,55.0,55.23500061035156,54.70750045776367,54.97249984741211,53.19381332397461,75334000,54.97249984741211,54.97249984741211,0,
2019-09-27,55.1349983215332,55.2400016784668,54.31999969482422,54.70500183105469,52.93497467041016,101408000,54.8387508392334,54.8387508392334,0,0
2019-09-30,55.22499847412109,56.14500045776367,55.1974983215332,55.99250030517578,54.18080520629883,103909600,55.223333994547524,55.223333994547524,0,0
2019-10-01,56.26750183105469,57.05500030517578,56.04999923706055,56.147499084472656,54.3307991027832,139223200,55.45437526702881,55.45437526702881,0,0
2019-10-02,55.76499938964844,55.89500045776367,54.48249816894531,54.7400016784668,52.96883773803711,138449200,55.311500549316406,55.311500549316406,0,0
2019-10-03,54.60749816894531,55.2400016784668,53.782501220703125,55.20500183105469,53.41878890991211,114426000,55.29375076293945,55.29375076293945,0,0
2019-10-04,56.40999984741211,56.872501373291016,55.97249984741211,56.75249862670898,54.91621780395508,138478800,55.502143314906526,55.502143314906526,0,0
2019-10-07,56.567501068115234,57.48249816894531,56.459999084472656,56.76499938964844,54.928314208984375,122306000,55.66000032424927,55.66000032424927,0,0
2019-10-08,56.45500183105469,57.01499938964844,56.08250045776367,56.09999847412109,54.28482055664063,111820000,55.70888900756836,55.70888900756836,0,0
2019-10-09,56.75749969482422,56.9474983215332,56.40999984741211,56.75749969482422,54.92105102539063,74770400,55.81375007629394,55.81375007629394,0,0
2019-10-10,56.98249816894531,57.61000061035156,56.82500076293945,57.522499084472656,55.66129684448242,113013600,55.96909089521928,55.96909089521928,0,0
2019-10-11,58.23749923706055,59.40999984741211,58.07749938964844,59.0525016784668,57.14179611206055,166795600,56.22604179382324,56.22604179382324,0,0
2019-10-14,58.72499847412109,59.532501220703125,58.66749954223633,58.96749877929688,57.05954360961914,96427600,56.43692310039814,56.43692310039814,0,0
2019-10-15,59.09749984741211,59.41249847412109,58.720001220703125,58.83000183105469,56.92649841308594,87360000,56.60785729544504,56.60785729544504,0,0
2019-10-16,58.34249877929688,58.810001373291016,58.29999923706055,58.59249877929688,56.69668197631836,73903200,56.740166727701826,56.740166727701826,0,0
2019-10-17,58.772499084472656,59.03749847412109,58.380001068115234,58.81999969482422,56.91682434082031,67585200,56.87015628814697,56.87015628814697,0,0
2019-10-18,58.647499084472656,59.39500045776367,58.5724983215332,59.102500915527344,57.190185546875,97433600,57.00147067799288,57.00147067799288,0,0
2019-10-21,59.380001068115234,60.247501373291016,59.33000183105469,60.12749862670898,58.1820068359375,87247200,57.175138897366,57.175138897366,0,0
2019-10-22,60.290000915527344,60.54999923706055,59.90499877929688,59.9900016784668,58.048973083496094,82293600,57.32328957005551,57.32328957005551,0,0
2019-10-23,60.525001525878906,60.810001373291016,60.30500030517578,60.79499816894531,58.827919006347656,75828800,57.496875,57.496875,0,0
2019-10-24,61.12749862670898,61.20000076293945,60.45249938964844,60.89500045776367,58.92467498779297,69275200,57.658690497988744,57.658690497988744,0,0
2019-10-25,60.790000915527344,61.682498931884766,60.720001220703125,61.64500045776367,59.65041732788086,73477200,57.83988640525124,57.83988640525124,0,0
2019-10-28,61.85499954223633,62.3125,61.68000030517578,62.26250076293945,60.24794006347656,96572800,58.0321739860203,58.0321739860203,0,0
2019-10-29,62.24250030517578,62.4375,60.64250183105469,60.8224983215332,58.85451889038086,142839600,58.1484375,58.1484375,0,0
2019-10-30,61.18999862670898,61.32500076293945,60.3025016784668,60.81499862670898,58.84727478027344,124522000,58.25509994506836,58.25509994506836,0,0
2019-10-31,61.810001373291016,62.29249954223633,59.31499862670898,62.18999862670898,60.17778015136719,139162000,58.406442202054535,58.406442202054535,0,0
